Product ID;Name;Kategoria;Cena netto;Cena brutto;Ilość;Kategoria nadrzędna
29;Włóczka DROPS Alaska 15 - kobalt;102;6.91;8.5;10;564
30;Włóczka DROPS Alaska mix 64 - morze północne;102;6.91;8.5;10;564
31;Włóczka DROPS Alpaca 101 - biały;103;11.87;14.6;10;564
32;Włóczka DROPS Alpaca 100 - ecru;103;11.87;14.6;10;564
33;Włóczka DROPS Alpaca 9036 - pszeniczny;103;11.87;14.6;10;564
34;Włóczka DROPS Alpaca 2923 - złoty żółty;103;11.87;14.6;10;564
35;Włóczka DROPS Alpaca 2915 -przykurzony pomarańcz;103;11.87;14.6;10;564
36;Włóczka DROPS Alpaca mix 2925 - rdza;103;12.44;15.3;10;564
37;Włóczka DROPS Alpaca 3620 - czerwony;103;11.87;14.6;10;564
38;Włóczka DROPS Alpaca mix 5565 - bordowo-brązowy;103;12.44;15.3;10;564
39;Włóczka DROPS Alpaca mix 3650 - bordowy;103;12.44;15.3;10;564
40;Włóczka DROPS Alpaca 3770 - malinowy róż;103;11.87;14.6;10;564
41;Włóczka DROPS Alpaca  mix 9024 - ciemny blush;103;12.44;15.3;10;564
42;Włóczka DROPS Alpaca  mix 9026 - blush;103;12.44;15.3;10;564
43;Włóczka DROPS Alpaca 3720 - średni róż;103;11.87;14.6;10;564
44;Włóczka DROPS Alpaca 9034 - płatek róży;103;11.87;14.6;10;564
45;Włóczka DROPS Alpaca 9033 - lody truskawkowe;103;11.87;14.6;10;564
46;Włóczka DROPS  Alpaca Bouclé 0100 - ecru;103;12.44;15.3;10;564
47;Włóczka DROPS Alpaca Bouclé mix 0602 - brąz;103;12.44;15.3;10;564
48;Włóczka DROPS Alpaca Bouclé  mix 2020 - jasny beż;103;12.44;15.3;10;564
49;Włóczka DROPS Alpaca Bouclé mix 5110 - jasny szary;103;12.44;15.3;10;564
50;Włóczka DROPS Alpaca Bouclé mix 0517 - szary;103;12.44;15.3;10;564
51;Włóczka DROPS  Alpaca Bouclé 8903 - czarny;103;12.44;15.3;10;564
52;Włóczka DROPS Andes 1101 - biały;104;16.67;20.5;10;564
53;Włóczka DROPS Andes 9022 - wapień;104;16.67;20.5;10;564
54;Włóczka DROPS Andes 0100 - ecru;104;16.67;20.5;10;564
55;Włóczka DROPS Andes mix 2920 - pomarańczowy;104;17.89;22.0;10;564
56;Włóczka DROPS Andes 3946 - czerwony;104;16.67;20.5;10;564
57;Włóczka DROPS Andes mix 4276 - bladoróżowy;104;17.89;22.0;10;564
58;Włóczka DROPS Andes 3145 - pudrowy róż;104;16.67;20.5;10;564
59;Włóczka DROPS Andes mix 9025 - różowy piasek;104;17.89;22.0;10;564
60;Włóczka DROPS Andes 8112 - błękitny stalowy;104;16.67;20.5;10;564
61;Włóczka DROPS Andes 6928 - niebieski;104;16.67;20.5;10;564
62;Włóczka DROPS Andes mix 6343 - ciemnoniebieski;104;17.89;22.0;10;564
63;Włóczka DROPS Andes 6990 - granatowy;104;16.67;20.5;10;564
64;Włóczka DROPS Andes mix 9023 - jasna morska zieleń;104;17.89;22.0;10;564
65;Włóczka DROPS Andes mix 7130 - zieleń oceanu;104;17.89;22.0;10;564
66;Włóczka DROPS Andes mix 9028 - nugat;104;17.89;22.0;10;564
67;Włóczka DROPS Baby Merino 01 - biały;105;12.2;15.0;10;564
68;Włóczka DROPS Baby Merino 02 - ecru;105;12.2;15.0;10;564
69;Włóczka DROPS Baby Merino 44 - pudrowy;105;12.2;15.0;10;564
70;Włóczka DROPS Baby Merino 59 - pszeniczny;105;12.2;15.0;10;564
71;Włóczka DROPS Baby Merino 03 - jasny żółty;105;12.2;15.0;10;564
72;Włóczka DROPS Baby Merino 04 - żółty;105;12.2;15.0;10;564
73;Włóczka DROPS Baby Merino 45 - cytrynowy;105;12.2;15.0;10;564
74;Włóczka DROPS Baby Merino 56 - mandarynka;105;12.2;15.0;10;564
75;Włóczka DROPS Baby Merino 36 - pomarańczowy;105;12.2;15.0;10;564
76;Włóczka DROPS Baby Merino 16 - czerwony;105;12.2;15.0;10;564
77;Włóczka DROPS Baby Merino 51 - bordowy;105;12.2;15.0;10;564
78;Włóczka DROPS Baby Merino 08 - fuksja;105;12.2;15.0;10;564
79;Włóczka DROPS Baby Merino 48 - blush;105;12.2;15.0;10;564
80;Włóczka DROPS Baby Merino 07 - różowy;105;12.2;15.0;10;564
81;Włóczka DROPS Baby Merino 05 - jasny róż;105;12.2;15.0;10;564
82;Włóczka DROPS Belle 01 - biały;106;7.15;8.8;10;564
83;Włóczka DROPS Belle 26 - perłowy;106;7.15;8.8;10;564
84;Włóczka DROPS Belle 02 - ecru;106;7.15;8.8;10;564
85;Włóczka DROPS Belle 22 - woda różana;106;7.15;8.8;10;564
86;Włóczka DROPS Belle 23 - krem miętowy;106;7.15;8.8;10;564
87;Włóczka DROPS Belle 04 - narcyz;106;7.15;8.8;10;564
88;Włóczka DROPS Belle 12 - cherry;106;7.15;8.8;10;564
89;Włóczka DROPS Belle 21 - róża migdałowa;106;7.15;8.8;10;564
90;Włóczka DROPS Belle 16 - malwa;106;7.15;8.8;10;564
91;Włóczka DROPS Belle 11 - stary róż;106;7.15;8.8;10;564
92;Włóczka DROPS Belle 15 - dżins;106;7.15;8.8;10;564
93;Włóczka DROPS Belle 13 - ciemny dżins;106;7.15;8.8;10;564
94;Włóczka DROPS Belle 20 - granatowy;106;7.15;8.8;10;564
95;Włóczka DROPS Belle 17 - petrol;106;7.15;8.8;10;564
96;Włóczka DROPS Belle 10 - zielony mech;106;7.15;8.8;10;564
97;Włóczka DROPS Big Merino 01 - ecru;107;12.2;15.0;10;564
98;Włóczka DROPS Big Merino 26 - lemoniada;107;12.2;15.0;10;564
99;Włóczka DROPS Big Merino mix  09 - lawenda;107;12.2;15.0;10;564
100;Włóczka DROPS Big Merino mix 23 - stalowy błękit;107;12.2;15.0;10;564
101;Włóczka DROPS Big Merino 07 - dżins;107;12.2;15.0;10;564
102;Włóczka DROPS Big Merino mix 06 - niezapominajka;107;12.2;15.0;10;564
103;Włóczka DROPS Big Merino 17 - granatowy;107;12.2;15.0;10;564
104;Włóczka DROPS Big Merino 25 - lody pistacjowe;107;12.2;15.0;10;564
105;Włóczka DROPS Big Merino 14 - zielony leśny;107;12.2;15.0;10;564
106;Włóczka DROPS Big Merino 05 - mokka;107;12.2;15.0;10;564
107;Włóczka DROPS Big Merino mix 08 - marmur;107;12.2;15.0;10;564
108;Włóczka DROPS Big Merino 19 - beż;107;12.2;15.0;10;564
109;Włóczka DROPS Big Merino 24 - jasny beż;107;12.2;15.0;10;564
110;Włóczka DROPS Big Merino mix 21 - szaro-beżowy;107;12.2;15.0;10;564
111;Włóczka DROPS Big Merino mix 22 -pudrowy róż;107;12.2;15.0;10;564
112;Włóczka DROPS Bomull-Lin 01 - biały;108;9.27;11.4;10;564
113;Włóczka DROPS Bomull-Lin 02 - ecru;108;9.27;11.4;10;564
114;Włóczka DROPS Bomull-Lin 20 - szaro-niebieski;108;9.27;11.4;10;564
115;Włóczka DROPS Bomull-Lin 21 - ciemnoniebieski;108;9.27;11.4;10;564
116;Włóczka DROPS Bomull-Lin 05 - brąz;108;9.27;11.4;10;564
117;Włóczka DROPS Bomull-Lin 11 - beż;108;9.27;11.4;10;564
118;Włóczka DROPS Bomull-Lin 03 - piaskowy;108;9.27;11.4;10;564
119;Włóczka DROPS Bomull-Lin 15 - jasny szary;108;9.27;11.4;10;564
120;Włóczka DROPS Bomull-Lin 16 - czarny;108;9.27;11.4;10;564
121;Włóczka DROPS Brushed Alpaca Silk 01 - ecru;103;10.08;12.4;10;564
122;Włóczka DROPS Brushed Alpaca Silk 19 - curry;103;10.08;12.4;10;564
123;Włóczka DROPS Brushed Alpaca Silk 40 - marcepan;103;10.08;12.4;10;564
124;Włóczka DROPS Brushed Alpaca Silk 30 - żółty;103;10.08;12.4;10;564
125;Włóczka DROPS Brushed Alpaca Silk 29 - mandarynka;103;10.08;12.4;10;564
126;Włóczka DROPS Brushed Alpaca Silk 22 - bladordzawy;103;10.08;12.4;10;564
127;Włóczka DROPS Brushed Alpaca Silk 24 - rdza;103;10.08;12.4;10;564
128;Włóczka DROPS Brushed Alpaca Silk 23 - bordowy;103;10.08;12.4;10;564
129;Włóczka DROPS Brushed Alpaca Silk 37 - słodka morela;103;10.08;12.4;10;564
130;Włóczka DROPS Brushed Alpaca Silk 06 - koralowy;103;10.08;12.4;10;564
131;Włóczka DROPS Brushed Alpaca Silk 07 - czerwony;103;10.08;12.4;10;564
132;Włóczka DROPS Brushed Alpaca Silk 18 - wiśnia;103;10.08;12.4;10;564
133;Włóczka DROPS Brushed Alpaca Silk 31 - intensywny róż;103;10.08;12.4;10;564
134;Włóczka DROPS Brushed Alpaca Silk 12 - pudrowy róż;103;10.08;12.4;10;564
135;Włóczka DROPS Brushed Alpaca Silk 20 - piaskowy róż;103;10.08;12.4;10;564
136;Włóczka DROPS Cotton Light 02 - biały;110;4.55;5.6;10;564
137;Włóczka DROPS Cotton Light 01 - ecru;110;4.55;5.6;10;564
138;Włóczka DROPS Cotton Light 42 - wanilia;110;4.55;5.6;10;564
139;Włóczka DROPS Cotton Light 55 - cytrynowy;110;4.55;5.6;10;564
140;Włóczka DROPS Cotton Light 28 - złoty żółty;110;4.55;5.6;10;564
141;Włóczka DROPS Cotton Light 35 - rdza;110;4.55;5.6;10;564
142;Włóczka DROPS Cotton Light 37 - migdałowy;110;4.55;5.6;10;564
143;Włóczka DROPS Cotton Light 40 - jasna brzoskwinia;110;4.55;5.6;10;564
144;Włóczka DROPS Cotton Light 53 - brzoskwinia;110;4.55;5.6;10;564
145;Włóczka DROPS Cotton Light 32 - czerwony;110;4.55;5.6;10;564
146;Włóczka DROPS Cotton Light 47 - karminowy;110;4.55;5.6;10;564
147;Włóczka DROPS Cotton Light 38 - dzika orchidea;110;4.55;5.6;10;564
148;Włóczka DROPS Cotton Light 18 - neonowy róż;110;4.55;5.6;10;564
149;Włóczka DROPS Cotton Light 45 - różowy flaming;110;4.55;5.6;10;564
150;Włóczka DROPS Cotton Light 49 - koralowy;110;4.55;5.6;10;564
151;Włóczka DROPS Cotton Merino 01 - biały;110;12.03;14.8;10;564
152;Włóczka DROPS Cotton Merino 28 - pudrowy;110;12.03;14.8;10;564
153;Włóczka DROPS Cotton Merino 38 - pszeniczny;110;12.03;14.8;10;564
154;Włóczka DROPS Cotton Merino 17 - wanilia;110;12.03;14.8;10;564
155;Włóczka DROPS Cotton Merino 15 - żółty;110;12.03;14.8;10;564
156;Włóczka DROPS Cotton Merino 34 - mniszek;110;12.03;14.8;10;564
157;Włóczka DROPS Cotton Merino 06 - wiśniowy;110;12.03;14.8;10;564
158;Włóczka DROPS Cotton Merino 25 - rdza;110;12.03;14.8;10;564
159;Włóczka DROPS Cotton Merino 36 - sorbet malinowy;110;12.03;14.8;10;564
160;Włóczka DROPS Cotton Merino 05 - pudrowy róż;110;12.03;14.8;10;564
161;Włóczka DROPS Cotton Merino 23 - lawenda;110;12.03;14.8;10;564
162;Włóczka DROPS Cotton Merino 31 - słodka orchidea;110;12.03;14.8;10;564
163;Włóczka DROPS Cotton Merino 16 - dżins;110;12.03;14.8;10;564
164;Włóczka DROPS Cotton Merino 08 - granatowy;110;12.03;14.8;10;564
165;Włóczka DROPS Cotton Merino 26 - zgaszony niebieski;110;12.03;14.8;10;564
166;Włóczka DROPS Daisy 01 - ecru;111;12.2;15.0;10;564
167;Włóczka DROPS Daisy 02 - marcepan;111;12.2;15.0;10;564
168;Włóczka DROPS Daisy 16 - lemoniada;111;12.2;15.0;10;564
169;Włóczka DROPS Daisy 23 - pomarańczowy;111;12.2;15.0;10;564
170;Włóczka DROPS Daisy 20 - czerwony;111;12.2;15.0;10;564
171;Włóczka DROPS Daisy 21 - szkarłatna czerwień;111;12.2;15.0;10;564
172;Włóczka DROPS Daisy 22 - magenta;111;12.2;15.0;10;564
173;Włóczka DROPS Daisy 06 - pudrowy róż;111;12.2;15.0;10;564
174;Włóczka DROPS Daisy 07 - słodka orchidea;111;12.2;15.0;10;564
175;Włóczka DROPS Daisy 09 - stalowy błękit;111;12.2;15.0;10;564
176;Włóczka DROPS Daisy 10 - błękitny;111;12.2;15.0;10;564
177;Włóczka DROPS Daisy 24 - kobalt;111;12.2;15.0;10;564
178;Włóczka DROPS Daisy 19 - granatowy;111;12.2;15.0;10;564
179;Włóczka DROPS Daisy 18 - ciemnoniebieska zieleń;111;12.2;15.0;10;564
180;Włóczka DROPS Daisy 26 - zielona szałwia;111;12.2;15.0;10;564
181;Włóczka DROPS  Fabel 100 - ecru;112;8.13;10.0;10;564
182;Włóczka DROPS  Fabel 121 - pszeniczny;112;8.13;10.0;10;564
183;Włóczka DROPS  Fabel 111 - musztarda;112;8.13;10.0;10;564
184;Włóczka DROPS  Fabel 119 - elektryzujący pomarańcz;112;8.13;10.0;10;564
185;Włóczka DROPS  Fabel 110 - rdza;112;8.13;10.0;10;564
186;Włóczka DROPS  Fabel 106 - czerwony;112;8.13;10.0;10;564
187;Włóczka DROPS  Fabel 113 - bordowy;112;8.13;10.0;10;564
188;Włóczka DROPS  Fabel 109 - fuksja;112;8.13;10.0;10;564
189;Włóczka DROPS  Fabel 102 - różowy;112;8.13;10.0;10;564
190;Włóczka DROPS  Fabel 120 - baby pink;105;8.13;10.0;10;564
191;Włóczka DROPS  Fabel 104 - fioletowy;112;8.13;10.0;10;564
192;Włóczka DROPS  Fabel 108 - szafirowy;112;8.13;10.0;10;564
193;Włóczka DROPS  Fabel 117 - jasnoniebieski;112;8.13;10.0;10;564
194;Włóczka DROPS  Fabel 107 - niebieski;112;8.13;10.0;10;564
195;Włóczka DROPS  Fabel 116 - chabrowy;112;8.13;10.0;10;564
196;Włóczka DROPS  Flora 02 - biały;113;8.37;10.3;10;564
197;Włóczka DROPS  Flora 22 - biała mgiełka;113;8.37;10.3;10;564
198;Włóczka DROPS  Flora mix 24 - truskawkowa czerwień;113;8.86;10.9;10;564
199;Włóczka DROPS  Flora 01 - ecru;113;8.37;10.3;10;564
200;Włóczka DROPS  Flora 26 - lemoniada;113;8.37;10.3;10;564
201;Włóczka DROPS  Flora mix 17 - żółty;113;8.86;10.9;10;564
202;Włóczka DROPS  Flora 29 - mandarynka;113;8.37;10.3;10;564
203;Włóczka DROPS  Flora mix 18 - czerwony;113;8.86;10.9;10;564
204;Włóczka DROPS  Flora mix 33 - głęboka czerwień;113;8.86;10.9;10;564
205;Włóczka DROPS  Flora 28 - magenta;113;8.37;10.3;10;564
206;Włóczka DROPS  Flora 21 - róż;113;8.37;10.3;10;564
207;Włóczka DROPS  Flora 30 - pustynna róża;113;8.37;10.3;10;564
208;Włóczka DROPS  Flora 09 - ametyst;113;8.37;10.3;10;564
209;Włóczka DROPS  Flora 14 - błękitny;113;8.37;10.3;10;564
210;Włóczka DROPS  Flora 13 - jasny dżins;113;8.37;10.3;10;564
211;Włókno miedziane DROPS Glitter 01 - złoty;0;7.24;8.9;10;0
212;Włókno miedziane DROPS Glitter 08 - czerwony;0;7.24;8.9;10;0
213;Włókno miedziane DROPS Glitter 02 - srebrny;0;7.24;8.9;10;0
214;Włóczka DROPS  Karisma 19 - biały;114;8.13;10.0;10;564
215;Włóczka DROPS  Karisma 01 - ecru;114;8.13;10.0;10;564
216;Włóczka DROPS  Karisma 79 - cytrynowy;114;8.13;10.0;10;564
217;Włóczka DROPS  Karisma 52 - ciemna musztarda;114;8.13;10.0;10;564
218;Włóczka DROPS  Karisma 11 - pomarańczowy;114;8.13;10.0;10;564
219;Włóczka DROPS  Karisma 18 - czerwony;114;8.13;10.0;10;564
220;Włóczka DROPS  Karisma 48 - czerwone wino;114;8.13;10.0;10;564
221;Włóczka DROPS  Karisma 80 - herbaciany róż;114;8.13;10.0;10;564
222;Włóczka DROPS  Karisma 13 - róż;114;8.13;10.0;10;564
223;Włóczka DROPS  Karisma 33 - średni róż;114;8.13;10.0;10;564
224;Włóczka DROPS  Karisma 71 - srebrny róż;114;8.13;10.0;10;564
225;Włóczka DROPS  Karisma 84 - pustynna róża;114;8.13;10.0;10;564
226;Włóczka DROPS  Karisma 40 - jasny stary róż;114;8.13;10.0;10;564
227;Włóczka DROPS  Karisma 81 - stary róż;114;8.13;10.0;10;564
228;Włóczka DROPS  Karisma 39 - ciemny stary róż;114;8.13;10.0;10;564
229;Włóczka DROPS  Kid-Silk 01 - ecru;115;16.18;19.9;10;564
230;Włóczka DROPS  Kid-Silk 56 - marcepan;115;16.18;19.9;10;564
231;Włóczka DROPS  Kid-Silk 29 - wanilia;115;16.18;19.9;10;564
232;Włóczka DROPS  Kid-Silk 52 - lemoniada;115;16.18;19.9;10;564
233;Włóczka DROPS  Kid-Silk 30 - curry;115;16.18;19.9;10;564
234;Włóczka DROPS  Kid-Silk 49 - electric orange;115;16.18;19.9;10;564
235;Włóczka DROPS  Kid-Silk 33 - rdza;115;16.18;19.9;10;564
236;Włóczka DROPS  Kid-Silk 53 - jasna brzoskwinia;115;16.18;19.9;10;564
237;Włóczka DROPS  Kid-Silk 62 - lody truskawkowe;115;16.18;19.9;10;564
238;Włóczka DROPS  Kid-Silk 14 - czerwony;115;16.18;19.9;10;564
239;Włóczka DROPS  Kid-Silk 61 - głęboka czerwień;115;16.18;19.9;10;564
240;Włóczka DROPS  Kid-Silk 46 - wiśniowy sorbet;115;16.18;19.9;10;564
241;Włóczka DROPS  Kid-Silk 32 - malinowy;115;16.18;19.9;10;564
242;Włóczka DROPS  Kid-Silk 13 - róż;115;16.18;19.9;10;564
243;Włóczka DROPS  Kid-Silk 03 - bladoróżowy;115;16.18;19.9;10;564
244;Włóczka DROPS  Lima 1101 - biały;116;8.37;10.3;10;564
245;Włóczka DROPS  Lima 9025 - kreda;116;8.37;10.3;10;564
246;Włóczka DROPS  Lima 0100 - ecru;116;8.37;10.3;10;564
247;Włóczka DROPS  Lima 2923 - ochra;116;8.37;10.3;10;564
248;Włóczka DROPS  Lima mix 0707 - rdza;116;8.86;10.9;10;564
249;Włóczka DROPS  Lima 3609 - czerwony;116;8.37;10.3;10;564
250;Włóczka DROPS  Lima 5820 - czerwone wino;116;8.37;10.3;10;564
251;Włóczka DROPS  Lima 9021 - czerwona cegła;116;8.37;10.3;10;564
252;Włóczka DROPS  Lima 9023 - bordowy;116;8.37;10.3;10;564
253;Włóczka DROPS  Lima 9028 - magenta;116;8.37;10.3;10;564
254;Włóczka DROPS  Lima mix 9022 - blush;116;8.86;10.9;10;564
255;Włóczka DROPS  Lima 3145 - pudrowy róż;116;8.37;10.3;10;564
256;Włóczka DROPS  Lima mix 4434 - fioletowy;116;8.86;10.9;10;564
257;Włóczka DROPS  Lima mix 9032 - mgła;116;8.86;10.9;10;564
258;Włóczka DROPS  Lima 4305 - indygo;116;8.37;10.3;10;564
259;Włóczka DROPS  Melody 01 - ecru;117;15.61;19.2;10;564
260;Włóczka DROPS  Melody 23 - woda różana;117;15.61;19.2;10;564
261;Włóczka DROPS  Melody 24 - marcepan;117;15.61;19.2;10;564
262;Włóczka DROPS  Melody 14 - wanilia;117;15.61;19.2;10;564
263;Włóczka DROPS  Melody 18 - musztarda;117;15.61;19.2;10;564
264;Włóczka DROPS  Melody 25 - różowa brzoskwinia;117;15.61;19.2;10;564
265;Włóczka DROPS  Melody 17 - ciemnoróżowy;117;15.61;19.2;10;564
266;Włóczka DROPS  Melody 06 - pudrowy róż;117;15.61;19.2;10;564
267;Włóczka DROPS  Melody 22 - słodka orchidea;117;15.61;19.2;10;564
268;Włóczka DROPS  Melody 27 - przymglony fiolet;117;15.61;19.2;10;564
269;Włóczka DROPS  Melody 21 - błękitny;117;15.61;19.2;10;564
270;Włóczka DROPS  Melody 02 - mgła;117;15.61;19.2;10;564
271;Włóczka DROPS  Melody 07 - ciemny dżins;117;15.61;19.2;10;564
272;Włóczka DROPS  Melody 28 - morski;117;15.61;19.2;10;564
273;Włóczka DROPS  Melody 08 - petrol;117;15.61;19.2;10;564
274;Włóczka DROPS Merino Extra Fine 01- ecru;118;12.2;15.0;10;564
275;Włóczka DROPS Merino Extra Fine 24 - jasnożółty;118;12.2;15.0;10;564
276;Włóczka DROPS Merino Extra Fine 30 - musztarda;118;12.2;15.0;10;564
277;Włóczka DROPS Merino Extra Fine 42 - cedr;118;12.2;15.0;10;564
278;Włóczka DROPS Merino Extra Fine 11 - karminowy;118;12.2;15.0;10;564
279;Włóczka DROPS Merino Extra Fine 48 - bordowy;118;12.2;15.0;10;564
280;Włóczka DROPS Merino Extra Fine 45 - blush;118;12.2;15.0;10;564
281;Włóczka DROPS Merino Extra Fine 25 - średni róż;118;12.2;15.0;10;564
282;Włóczka DROPS Merino Extra Fine 16 - jasny róż;118;12.2;15.0;10;564
283;Włóczka DROPS Merino Extra Fine 40 - pudrowy róż;118;12.2;15.0;10;564
284;Włóczka DROPS Merino Extra Fine 46 - pustynna róża;118;12.2;15.0;10;564
285;Włóczka DROPS Merino Extra Fine 32 -  stary róż;118;12.2;15.0;10;564
286;Włóczka DROPS Merino Extra Fine 36 - ametyst;118;12.2;15.0;10;564
287;Włóczka DROPS Merino Extra Fine 22 - liliowy;118;12.2;15.0;10;564
288;Włóczka DROPS Merino Extra Fine 34 - wrzos;118;12.2;15.0;10;564
289;Włóczka DROPS Muskat 18 - biały;119;6.99;8.6;10;564
290;Włóczka DROPS Muskat 08 - ecru;119;6.99;8.6;10;564
291;Włóczka DROPS Muskat 30 - wanilia;119;6.99;8.6;10;564
292;Włóczka DROPS Muskat 07 - jasnożółty;119;6.99;8.6;10;564
293;Włóczka DROPS Muskat 85 - musztarda;119;6.99;8.6;10;564
294;Włóczka DROPS Muskat 49 - ciemnopomarańczowy;119;6.99;8.6;10;564
295;Włóczka DROPS Muskat 12 - czerwony;119;6.99;8.6;10;564
296;Włóczka DROPS Muskat 81 - glina;119;6.99;8.6;10;564
297;Włóczka DROPS Muskat 41 - bordowy;119;6.99;8.6;10;564
298;Włóczka DROPS Muskat 87 - owoc granatu;119;6.99;8.6;10;564
299;Włóczka DROPS Muskat 86 - piaskowy róż;119;6.99;8.6;10;564
300;Włóczka DROPS Muskat 29 - różowa pantera;119;6.99;8.6;10;564
301;Włóczka DROPS Muskat 05 - liliowy jasny;119;6.99;8.6;10;564
302;Włóczka DROPS Muskat 04 - liliowy;119;6.99;8.6;10;564
303;Włóczka DROPS Muskat 92 - słodka orchidea;119;6.99;8.6;10;564
304;Włóczka DROPS Nepal  1101 -  biały;120;8.37;10.3;10;564
305;Włóczka DROPS Nepal 8915 - kreda;120;8.37;10.3;10;564
306;Włóczka DROPS Nepal 0100 - ecru;120;8.37;10.3;10;564
307;Włóczka DROPS Nepal 8919 - lemoniada;120;8.37;10.3;10;564
308;Włóczka DROPS Nepal 8920 - mlecz;120;8.37;10.3;10;564
309;Włóczka DROPS Nepal 2923 - ochra;120;8.37;10.3;10;564
310;Włóczka DROPS Nepal mix 2920 - pomarańczowy;120;8.86;10.9;10;564
311;Włóczka DROPS Nepal 3620 - czerwony;120;8.37;10.3;10;564
312;Włóczka DROPS Nepal 8914 - czerwona glina;120;8.37;10.3;10;564
313;Włóczka DROPS Nepal 8916 - bordowy;120;8.37;10.3;10;564
314;Włóczka DROPS Nepal 3608 - ciemny róż;120;8.37;10.3;10;564
315;Włóczka DROPS Nepal 8910 - malina;120;8.37;10.3;10;564
316;Włóczka DROPS Nepal mix 8912 - blush;120;8.86;10.9;10;564
317;Włóczka DROPS Nepal 3720 - średni róż;120;8.37;10.3;10;564
318;Włóczka DROPS Nepal 3112 - pudrowy róż;120;8.37;10.3;10;564
319;Włóczka DROPS Nord 01 - ecru;121;9.59;11.8;10;564
320;Włóczka DROPS Nord 28 - mlecz;121;9.59;11.8;10;564
321;Włóczka DROPS Nord 18 - ochra;121;9.59;11.8;10;564
322;Włóczka DROPS Nord mix 11 - rdza;121;9.76;12.0;10;564
323;Włóczka DROPS Nord 27 - jasna brzoskwinia;121;9.59;11.8;10;564
324;Włóczka DROPS Nord 14 - czerwony;121;9.59;11.8;10;564
325;Włóczka DROPS Nord 21 - czerwona cegła;121;9.59;11.8;10;564
326;Włóczka DROPS Nord mix 20 - blush;121;9.76;12.0;10;564
327;Włóczka DROPS Nord 12 - pudrowy róż;121;9.59;11.8;10;564
328;Włóczka DROPS Nord 13 - stary róż;121;9.59;11.8;10;564
329;Włóczka DROPS Nord 25 - słodka orchidea;121;9.59;11.8;10;564
330;Włóczka DROPS Nord 26 - stalowy błękit;121;9.59;11.8;10;564
331;Włóczka DROPS Nord mix 08 - mgła;121;9.76;12.0;10;564
332;Włóczka DROPS Nord 16 - dżins;121;9.59;11.8;10;564
333;Włóczka DROPS Nord 15 - granatowy;121;9.59;11.8;10;564
334;Włóczka DROPS Paris 16 - biały;122;4.72;5.8;10;564
335;Włóczka DROPS Paris 17 - ecru;122;4.72;5.8;10;564
336;Włóczka DROPS Paris 75 - śmietanka;122;4.72;5.8;10;564
337;Włóczka DROPS Paris 67 - pszeniczny;122;4.72;5.8;10;564
338;Włóczka DROPS Paris 19 - jasnożółty;122;4.72;5.8;10;564
339;Włóczka DROPS Paris 35 - żółty;122;4.72;5.8;10;564
340;Włóczka DROPS Paris 14 - ciemnożółty;122;4.72;5.8;10;564
341;Włóczka DROPS Paris 41 - musztarda;122;4.72;5.8;10;564
342;Włóczka DROPS Paris 71 - mandarynka;122;4.72;5.8;10;564
